,country,lon,lat,iso_con
197,Sierra Leone,-11.8400269,8.6400349,SLE
198,Singapore,103.8194992,1.357107,SGP
199,Sint Maarten (Dutch part),-63.04435976,18.02222735,SXM
200,Slovakia,19.4528646,48.7411522,SVK
201,Slovenia,14.4808369,45.8133113,SVN
202,Solomon Islands,159.1070694,-8.7053941,SLB
203,Somalia,49.083416,8.3676771,SOM
204,South Africa,24.991639,-28.8166236,ZAF
205,South Georgia and the South Sandwich Islands,-35.8090698,-54.8432857,SGS
206,South Sudan,29.6667897,7.8699431,SSD
207,Spain,-4.8379791,39.3260685,ESP
208,Sri Lanka,80.7137847,7.5554942,LKA
209,Sudan,29.4917691,14.5844444,SDN
210,Suriname,-56.0771187,4.1413025,SUR
211,Svalbard and Jan Mayen,16.60557407,78.51240265,SJM
212,Sweden,14.5208584,59.6749712,SWE
213,Switzerland,8.2319736,46.7985624,CHE
214,Syrian Arab Republic,39.0494106,34.6401861,SYR
215,"Taiwan, Province of China",120.9820179,23.9739374,TWN
216,Tajikistan,70.8156541,38.6281733,TJK
217,"Tanzania, United Republic of",33.6119738,34.9179954,TZA
218,Thailand,100.83273,14.8971921,THA
219,Timor-Leste,125.8375756,-8.5151979,TLS
220,Togo,1.0199765,8.7800265,TGO
221,Tokelau,-171.819687,-9.1676396,TKL
222,Tonga,-175.202642,-19.9160819,TON
223,Trinidad and Tobago,-60.9821067,10.8677845,TTO
224,Tunisia,9.400138,33.8439408,TUN
225,Turkey,34.9249653,38.9597594,TUR
226,Turkmenistan,59.3924609,39.3763807,TKM
227,Turks and Caicos Islands,-71.6201783,21.7214683,TCA
228,Tuvalu,179.1582918,-8.6405212,TUV
229,Uganda,32.2166578,1.5333554,UGA
230,Ukraine,31.2718321,49.4871968,UKR
231,United Arab Emirates,53.9994829,24.0002488,ARE
232,United Kingdom,-3.2765753,54.7023545,GBR
233,United States,-100.445882,39.7837304,USA
234,United States Minor Outlying Islands,-166.647047,19.282319,UMI
235,Uruguay,-56.0201525,-32.8755548,URY
236,Uzbekistan,63.9528098,41.32373,UZB
237,Vanuatu,168.1069154,-16.5255069,VUT
238,"Venezuela, Bolivarian Republic of",-66.1109318,8.0018709,VEN
239,Viet Nam,108.4265113,13.2904027,VNM
240,"Virgin Islands, British",-64.5661642,18.4024,VGB
241,"Virgin Islands, U.S.",-64.75901598,17.7289564,VIR
242,Wallis and Futuna,-176.204224,-13.289402,WLF
243,Western Sahara,-13.89214303,24.16819605,ESH
244,Yemen,47.8915271,16.3471243,YEM
245,Zambia,27.5589884,-14.5189121,ZMB
246,Zimbabwe,29.7468414,-18.4554963,ZWE
